  85.3249    63.4534
  85.4679    64.7364
  85.6109    66.0193
   85.754    67.3026
  85.8971    68.5858
  86.0401    69.8685
  86.1831     71.151
  86.3262    72.4343
  86.4692     73.717
  86.6121    74.9993
  86.7552    76.2823
  86.8982     77.565
  87.0413    78.8483
  87.1843     80.131
  87.3273    81.4141
  87.4703    82.6967
  87.6134      83.98
  87.7564     85.263
  87.8995    86.5459
  88.0425    87.8286
  88.1856    89.1116
  88.3286    90.3946
  88.4716    91.6773
  88.6146    92.9602
  88.7577    94.2433
  88.9007    95.5263
  89.0437    96.8087
  89.1867    98.0911
  89.3297     99.374
  89.4728    100.657
  89.6158     101.94
  89.7588    103.222
  89.9018    104.505
  90.0449    105.789
  90.1879    107.071
   90.331    108.354
   90.474    109.637
   90.617     110.92
  90.7601    112.203
  90.9031    113.486
  91.0462    114.769
  91.1891    116.052
  91.3322    117.335
  91.4753    118.618
  91.6183    119.901
  91.7613    121.183
  91.9043    122.467
  92.0474    123.749
  92.1904    125.032
  92.3334    126.315
  92.4764    127.598
  92.6195    128.881
  92.7625    130.164
  92.8467    130.918
  92.7038    129.635
  92.5609    128.352
  92.4181    127.069
  92.2753    125.786
  92.1325    124.503
  91.9897     123.22
  91.8468    121.937
   91.704    120.654
  91.5612    119.371
  91.4184    118.089
  91.2755    116.805
  91.1327    115.523
  90.9899     114.24
  90.8471    112.957
  90.7043    111.674
  90.5615    110.391
  90.4187    109.109
  90.2758    107.825
   90.133    106.543
  89.9902    105.259
  89.8474    103.977
  89.7046    102.694
  89.5618    101.411
  89.4189    100.128
  89.2761    98.8451
  89.1333    97.5622
  88.9905    96.2795
  88.8476    94.9962
  88.7048    93.7137
  88.5621    92.4312
  88.4192    91.1483
  88.2764    89.8654
  88.1335    88.5817
  87.9907    87.2991
  87.8479    86.0164
  87.7051    84.7332
  87.5622    83.4498
  87.4194    82.1671
  87.2766    80.8847
  87.1339    79.6024
  86.9911    78.3197
  86.8483    77.0372
  86.7055     75.754
  86.5627    74.4717
  86.4199    73.1887
   86.277    71.9055
  86.1342    70.6226
  85.9914    69.3398
  85.8486     68.057
  85.7057    66.7736
  85.5629     65.491
  85.4201    64.2078
  85.2773    62.9251
  85.1344    61.6417
  85.2157    60.5651
  86.5057    60.6019
  87.7956    60.6386
  89.0861    60.6753
  90.3765    60.7121
  91.6666    60.7488
  92.9569    60.7856
  94.2473    60.8223
  95.5381    60.8591
  96.8283    60.8958
  98.1181    60.9325
  99.4086    60.9693
  100.699    61.0061
  101.989    61.0428
  103.279    61.0795
   104.57    61.1163
   105.86     61.153
   107.15    61.1897
  108.441    61.2265
   109.73    61.2632
  111.021    61.2999
  112.311    61.3367
  113.601    61.3734
  114.891    61.4102
  116.181    61.4469
  117.472    61.4836
  118.762    61.5204
  119.063    60.6152
  118.962    59.3281
  118.862     58.041
  118.762     56.754
  118.661     55.467
  118.561    54.1805
  118.461    52.8938
   118.36    51.6065
   118.26      50.32
   118.16     49.033
   118.06    47.7462
  117.959    46.4595
  117.859    45.1723
  117.759    43.8854
  117.658    42.5985
  117.558    41.3117
  117.458    40.0241
  117.357    38.7371
  116.438    38.3661
  115.148    38.4088
  113.857    38.4515
  112.567    38.4942
  111.277    38.5369
  109.987    38.5796
  108.697    38.6223
  107.407     38.665
  106.117    38.7077
  104.827    38.7504
  103.537    38.7931
  102.247    38.8358
  100.957    38.8785
  99.6667    38.9212
